FID,ADM0_EN,ADM0_FR,ADM0_RW,PROVINCE,PCODE,DISTRICT,DCODE,SECTOR,SCODE,CELL,CCODE
420,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Buruhukiro,RW2501,Munini,RW250105
416,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Buruhukiro,RW2501,Bushigishigi,RW250101
417,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Buruhukiro,RW2501,Byimana,RW250102
418,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Buruhukiro,RW2501,Gifurwe,RW250103
419,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Buruhukiro,RW2501,Kizimyamuriro,RW250104
421,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Buruhukiro,RW2501,Rambya,RW250106
271,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Busanze,RW2301,Nteko,RW230103
269,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Busanze,RW2301,Kirarangombe,RW230101
270,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Busanze,RW2301,Nkanda,RW230102
272,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Busanze,RW2301,Runyombyi,RW230104
273,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Busanze,RW2301,Shororo,RW230105
160,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busasamana,RW2101,Kavumu,RW210102
162,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busasamana,RW2101,Nyanza,RW210104
163,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busasamana,RW2101,Rwesero,RW210105
159,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busasamana,RW2101,Gahondo,RW210101
161,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busasamana,RW2101,Kibinja,RW210103
164,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busoro,RW2102,Gitovu,RW210201
166,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busoro,RW2102,Masangano,RW210203
165,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busoro,RW2102,Kimirama,RW210202
167,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busoro,RW2102,Munyinya,RW210204
168,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busoro,RW2102,Rukingiro,RW210205
169,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Busoro,RW2102,Shyira,RW210206
511,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Bweramana,RW2601,Rubona,RW260104
510,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Bweramana,RW2601,Murama,RW260103
508,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Bweramana,RW2601,Buhanda,RW260101
509,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Bweramana,RW2601,Gitisi,RW260102
512,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Bweramana,RW2601,Rwinyana,RW260105
517,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Byimana,RW2602,Muhororo,RW260205
516,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Byimana,RW2602,Mpanda,RW260204
513,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Byimana,RW2602,Kamusenyi,RW260201
514,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Byimana,RW2602,Kirengeri,RW260202
515,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Byimana,RW2602,Mahembe,RW260203
518,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Byimana,RW2602,Ntenyo,RW260206
519,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Ruhango,RW26,Byimana,RW2602,Nyakabuye,RW260207
174,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Cyabakamyi,RW2103,Rubona,RW210305
173,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Cyabakamyi,RW2103,Nyarurama,RW210304
171,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Cyabakamyi,RW2103,Karama,RW210302
170,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Cyabakamyi,RW2103,Kadaho,RW210301
172,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyanza,RW21,Cyabakamyi,RW2103,Nyabinyenga,RW210303
274,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Cyahinda,RW2302,Coko,RW230201
275,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Cyahinda,RW2302,Cyahinda,RW230202
276,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Cyahinda,RW2302,Gasasa,RW230203
277,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Cyahinda,RW2302,Muhambara,RW230204
278,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyaruguru,RW23,Cyahinda,RW2302,Rutobwe,RW230205
425,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Cyanika,RW2502,Ngoma,RW250204
422,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Cyanika,RW2502,Gitega,RW250201
426,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Cyanika,RW2502,Nyanza,RW250205
423,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Cyanika,RW2502,Karama,RW250202
424,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Cyanika,RW2502,Kiyumba,RW250203
427,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Nyamagabe,RW25,Cyanika,RW2502,Nyanzoga,RW250206
568,Rwanda,Rwanda (le),U Rwanda,Amajyepfo,RW2,Muhanga,RW27,Cyeza,RW2701,Kigarama,RW270102
